bugid,tempo_space
342845,"[('E', '0'), ('C', '0'), ('D', '0'), ('A', '1'), ('D', '1'), ('C', '1'), ('C', '2'), ('L', '2'), ('C', '2'), ('C', '4'), ('C', '6'), ('C', '15'), ('W', '22'), ('C', '37'), ('V', '37'), ('W', '37'), ('V', '37'), ('V', '37'), ('V', '37'), ('W', '37'), ('Y', '37'), ('Z', '37')]"
343871,"[('E', '0'), ('L', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('C', '1'), ('C', '2'), ('C', '9'), ('C', '26'), ('A', '35'), ('V', '35'), ('Y', '36'), ('W', '36'), ('W', '36'), ('Z', '37')]"
376852,"[('E', '0'), ('W', '0'), ('P', '0'), ('V', '34'), ('L', '34'), ('Y', '36'), ('Z', '36')]"
381441,"[('E', '0'), ('C', '0'), ('C', '0'), ('D', '0'), ('C', '1'), ('C', '10'), ('A', '36'), ('D', '36'), ('L', '36'), ('Z', '36')]"
387007,"[('E', '0'), ('V', '0'), ('D', '0'), ('R', '0'), ('C', '11'), ('C', '18'), ('L', '22'), ('C', '22'), ('C', '33'), ('L', '33'), ('C', '34'), ('A', '34'), ('V', '34'), ('Y', '37'), ('L', '37'), ('Z', '37')]"
390244,"[('E', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('C', '3'), ('A', '12'), ('V', '28'), ('C', '28'), ('Y', '36'), ('Z', '36')]"
416009,"[('M', '0'), ('C', '26'), ('P', '35'), ('C', '35'), ('A', '36'), ('V', '36'), ('L', '36'), ('Y', '37'), ('Z', '37')]"
422476,"[('M', '0'), ('C', '0'), ('A', '0'), ('V', '0'), ('V', '0'), ('C', '7'), ('Q', '7'), ('P', '7'), ('C', '18'), ('W', '20'), ('C', '20'), ('V', '33'), ('W', '33'), ('Y', '35'), ('W', '35'), ('L', '35'), ('W', '36'), ('Z', '36')]"
426453,"[('E', '0'), ('C', '5'), ('D', '17'), ('C', '17'), ('D', '26'), ('A', '35'), ('V', '35'), ('Y', '36'), ('L', '36'), ('Z', '36')]"
432936,"[('N', '0'), ('C', '0'), ('Z', '37')]"
444395,"[('M', '0'), ('D', '0'), ('D', '0'), ('A', '0'), ('V', '0'), ('W', '0'), ('L', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('C', '1'), ('C', '1'), ('C', '2'), ('C', '7'), ('C', '12'), ('W', '29'), ('V', '31'), ('W', '31'), ('L', '31'), ('C', '33'), ('Y', '35'), ('W', '35'), ('C', '36'), ('C', '37'), ('Z', '37')]"
481496,"[('M', '0'), ('C', '1'), ('W', '25'), ('L', '36'), ('Z', '36')]"
484019,"[('E', '0'), ('C', '0'), ('D', '0'), ('A', '16'), ('D', '16'), ('C', '20'), ('V', '34'), ('C', '35'), ('V', '35'), ('Y', '36'), ('L', '37'), ('Z', '37')]"
515260,"[('M', '0'), ('W', '0'), ('P', '35'), ('C', '35'), ('A', '36'), ('Z', '36')]"
515266,"[('M', '0'), ('W', '0'), ('P', '35'), ('C', '35'), ('A', '36'), ('Z', '36')]"
524745,"[('E', '0'), ('D', '0'), ('C', '1'), ('W', '2'), ('C', '20'), ('A', '27'), ('V', '27'), ('V', '27'), ('Y', '28'), ('C', '29'), ('C', '37'), ('L', '37'), ('Z', '37')]"
526952,"[('E', '0'), ('A', '0'), ('C', '0'), ('V', '6'), ('Y', '13'), ('C', '19'), ('L', '37'), ('Z', '37')]"
533228,"[('N', '0'), ('C', '0'), ('C', '1'), ('W', '27'), ('Z', '37')]"
